DATE,CSUSHPINSA
1/1/87,63.754
2/1/87,64.154
3/1/87,64.49
4/1/87,64.996
5/1/87,65.572
6/1/87,66.242
7/1/87,66.806
8/1/87,67.287
9/1/87,67.641
10/1/87,67.919
11/1/87,68.11
12/1/87,68.361
1/1/88,68.599
2/1/88,68.931
3/1/88,69.338
4/1/88,69.801
5/1/88,70.419
6/1/88,71.078
7/1/88,71.696
8/1/88,72.196
9/1/88,72.585
10/1/88,72.833
11/1/88,73.076
12/1/88,73.288
1/1/89,73.624
2/1/89,73.973
3/1/89,74.415
4/1/89,74.874
5/1/89,75.302
6/1/89,75.703
7/1/89,76.05
8/1/89,76.281
9/1/89,76.429
10/1/89,76.494
11/1/89,76.525
12/1/89,76.499
1/1/90,76.527
2/1/90,76.587
3/1/90,76.79
4/1/90,77.04
5/1/90,77.299
6/1/90,77.504
7/1/90,77.557
8/1/90,77.474
9/1/90,77.224
10/1/90,76.907
11/1/90,76.376
12/1/90,75.967
1/1/91,75.528
2/1/91,75.249
3/1/91,75.14
4/1/91,75.314
5/1/91,75.769
6/1/91,76.254
7/1/91,76.509
8/1/91,76.587
9/1/91,76.573
10/1/91,76.286
11/1/91,76.034
12/1/91,75.833
1/1/92,75.697
2/1/92,75.652
3/1/92,75.812
4/1/92,76.079
5/1/92,76.398
6/1/92,76.603
7/1/92,76.713
8/1/92,76.734
9/1/92,76.632
10/1/92,76.602
11/1/92,76.584
12/1/92,76.469
1/1/93,76.4
2/1/93,76.332
3/1/93,76.387
4/1/93,76.665
5/1/93,77.034
6/1/93,77.519
7/1/93,77.888
8/1/93,78.134
9/1/93,78.203
10/1/93,78.178
11/1/93,78.178
12/1/93,78.122
1/1/94,78.206
2/1/94,78.213
3/1/94,78.358
4/1/94,78.713
5/1/94,79.221
6/1/94,79.714
7/1/94,80.075
8/1/94,80.328
9/1/94,80.349
10/1/94,80.312
11/1/94,80.177
12/1/94,80.087
1/1/95,80.038
2/1/95,80.008
3/1/95,80.097
4/1/95,80.39
5/1/95,80.712
6/1/95,81.089
7/1/95,81.431
8/1/95,81.673
9/1/95,81.759
10/1/95,81.749
11/1/95,81.654
12/1/95,81.537
1/1/96,81.451
2/1/96,81.424
3/1/96,81.69
4/1/96,82.149
5/1/96,82.626
6/1/96,83.075
7/1/96,83.447
8/1/96,83.675
9/1/96,83.732
10/1/96,83.658
11/1/96,83.585
12/1/96,83.518
1/1/97,83.557
2/1/97,83.621
3/1/97,83.937
4/1/97,84.352
5/1/97,84.899
6/1/97,85.432
7/1/97,85.875
8/1/97,86.183
9/1/97,86.343
10/1/97,86.44
11/1/97,86.664
12/1/97,86.88
1/1/98,87.196
2/1/98,87.407
3/1/98,87.91
4/1/98,88.59
5/1/98,89.406
6/1/98,90.226
7/1/98,90.891
8/1/98,91.438
9/1/98,91.783
10/1/98,92.03
11/1/98,92.227
12/1/98,92.474
1/1/99,92.744
2/1/99,93.011
3/1/99,93.642
4/1/99,94.468
5/1/99,95.394
6/1/99,96.396
7/1/99,97.224
8/1/99,97.93
9/1/99,98.434
10/1/99,98.87
11/1/99,99.189
12/1/99,99.583
1/1/00,100
2/1/00,100.57
3/1/00,101.465
4/1/00,102.54
5/1/00,103.702
6/1/00,104.855
7/1/00,105.721
8/1/00,106.521
9/1/00,107.135
10/1/00,107.728
11/1/00,108.291
12/1/00,108.791
1/1/01,109.215
2/1/01,109.643
3/1/01,110.394
4/1/01,111.247
5/1/01,112.202
6/1/01,113.273
7/1/01,114.23
8/1/01,114.991
9/1/01,115.467
10/1/01,115.682
11/1/01,115.839
12/1/01,116.055
1/1/02,116.437
2/1/02,116.917
3/1/02,117.931
4/1/02,119.211
5/1/02,120.79
6/1/02,122.334
7/1/02,123.687
8/1/02,124.729
9/1/02,125.492
10/1/02,126.135
11/1/02,126.64
12/1/02,127.149
1/1/03,127.652
2/1/03,128.327
3/1/03,129.31
4/1/03,130.49
5/1/03,131.841
6/1/03,133.225
7/1/03,134.645
