Series Description,All holders,"One- to four- family residences, By type of property","Multifamily residences, by type of property","Nonfarm, nonresidential, by type of property","Farm, by type of property","Major financial institutions, by type of holder","Depository Institutions, Major financial institutions, by type of holder","One- to four-family residence, Depository Institutions, Major financial institutions, by type of holder","Multiplefamily residences, Depository Institutions, Major financial institutions, by type of holder","Nonfarm, nonresidential, Depository Institutions, Major financial institutions, by type of holder","Farm, Depository Institutions, Major financial institutions, by type of holder","Life insurance companies, Major financial institutions, by type of holder","One- to four- family residences, Life insurance companies, Major financial institutions, by type of holder","Multifamily residences, Life insurance companies, Major financial institutions, by type of holder","Nonfarm, nonresidential, Life insurance companies, Major financial institutions, by type of holder","Farm, Life insurance companies, Major financial institutions, by type of holder","Federal and related agencies, by type of holder","Government National Mortgage Association, Federal and related agencies, by type of holder","One- to four- family residences, Government National Mortgage Association, Federal and related agencies, by type of holder","Multifamily residences, Government National Mortgage Association, Federal and related agencies, by type of holder","Farmers Home Administration, Federal and related agencies, by type of holder","One- to four- family residences, Farmers Home Administration, Federal and related agencies, by type of holder","Multifamily residences, Farmers Home Administration, Federal and related agencies, by type of holder","Nonfarm, nonresidential, Farmers Home Administration, Federal and related agencies, by type of holder","Farm, Farmers Home Administration, Federal and related agencies, by type of holder","Federal Housing and Veterans' Adminstrations, Federal and related agencies, by type of holder","One- to four- family residences, Federal Housing and Veterans' Adminstrations, Federal and related agencies, by type of holder","Multifamily residences, Federal Housing and Veterans' Adminstrations, Federal and related agencies, by type of holder","Resolution Trust Corporation, Federal and related agencies, by type of holder","One- to four- family residences, Resolution Trust Corporation, Federal and related agencies, by type of holder","Multifamily residences, Resolution Trust Corporation, Federal and related agencies, by type of holder","Nonfarm, nonresidential, Resolution Trust Corporation, Federal and related agencies, by type of holder","Farm, Resolution Trust Corporation, Federal and related agencies, by type of holder","Federal Deposit Insurance Corporation, Federal and related agencies, by type of holder","One- to four- family residences, Federal Deposit Insurance Corporation, Federal and related agencies, by type of holder","Multifamily residences, Federal Deposit Insurance Corporation, Federal and related agencies, by type of holder","Nonfarm, nonresidential, Federal Deposit Insurance Corporation, Federal and related agencies, by type of holder","Farm, Federal Deposit Insurance Corporation, Federal and related agencies, by type of holder","Federal National Mortgage Association, Federal and related agencies, by type of holder","One- to four- family residences, Federal National Mortgage Association, Federal and related agencies, by type of holder","Multifamily residences, Federal National Mortgage Association, Federal and related agencies, by type of holder","Federal Land Banks, Federal and related agencies, by type of holder","One- to four- family residences, Federal Land Banks, Federal and related agencies, by type of holder","Farm, Federal Land Banks, Federal and related agencies, by type of holder","Federal Home Loan Mortgage Corporation, Federal and related agencies, by type of holder","One- to four- family residences, Federal Home Loan Mortgage Corporation, Federal and related agencies, by type of holder","Multifamily residences, Federal Home Loan Mortgage Corporation, Federal and related agencies, by type of holder","Federal Home Loan Banks, Federal and related agencies, by type of holder","One- to four- family residences, Federal Home Loan Banks, Federal and related agencies, by type of holder","Multifamily residences, Federal Home Loan Banks, Federal and related agencies, by type of holder","Federal Agricultural Mortgage Corporation, Federal and related agencies, by type of holder","Farm, Federal Agricultural Mortgage Corporation, Federal and related agencies, by type of holder","Mortgage pools or trusts, by type of holder","Government National Mortgage Association, Mortgage pools or trusts, by type of holder","One- to four- family residences, Government National Mortgage Association, Mortgage pools or trusts, by type of holder","Multifamily residences, Government National Mortgage Association, Mortgage pools or trusts, by type of holder","Federal Home Loan Mortgage Corporation, Mortgage pools or trusts, by type of holder","One- to four- family residences, Federal Home Loan Mortgage Corporation, Mortgage pools or trusts, by type of holder","Multifamily residences, Federal Home Loan Mortgage Corporation, Mortgage pools or trusts, by type of holder","Federal National Mortgage Association, Mortgage Pools or trusts, by type of holder","One- to four- family residences, Federal National Mortgage Association, Mortgage Pools or trusts, by type of holder","Multifamily residences, Federal National Mortgage Association, Mortgage Pools or trusts, by type of holder","Farmers Home Administration, Mortgage Pools or trusts, by type of holder","One- to four- family residences, Farmers Home Administration, Mortgage Pools or trusts, by type of holder","Multifamily residences, Farmers Home Administration, Mortgage Pools or trusts, by type of holder","Nonfarm, nonresidential, Farmers Home Administration, Mortgage Pools or trusts, by type of holder","Farm, Farmers Home Administration, Mortgage Pools or trusts, by type of holder","Private mortgage conduits, Mortgage Pools or trusts, by type of holder","One- to four- family residences, Private mortgage conduits, Mortgage Pools or trusts, by type of holder","Multifamily residences, Private mortgage conduits, Mortgage Pools or trusts, by type of holder","Nonfarm, nonresidential, Private mortgage conduits, Mortgage Pools or trusts, by type of holder","Farm, Private mortgage conduits, Mortgage Pools or trusts, by type of holder","Federal Agricultural Mortgage Corporation, Mortgage Pools or trusts, by type of holder","Farm, Federal Agricultural Mortgage Corporation, Mortgage Pools or trusts, by type of holder","Individuals and others, by type of holder","One- to four- family residences, Individuals and others, by type of holder","Multifamily residences, Individuals and others, by type of holder","Nonfarm, nonresidentail, Individuals and others, by type of holder","Farm, Individuals and others, by type of holder"
Unit:,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency
Multiplier:,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
Currency:,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
Unique Identifier: ,MDO/MDO/LINE1.Q,MDO/MDO/LINE2.Q,MDO/MDO/LINE3.Q,MDO/MDO/LINE4.Q,MDO/MDO/LINE5.Q,MDO/MDO/LINE6.Q,MDO/MDO/LINE7.Q,MDO/MDO/LINE8.Q,MDO/MDO/LINE9.Q,MDO/MDO/LINE10.Q,MDO/MDO/LINE11.Q,MDO/MDO/LINE12.Q,MDO/MDO/LINE13.Q,MDO/MDO/LINE14.Q,MDO/MDO/LINE15.Q,MDO/MDO/LINE16.Q,MDO/MDO/LINE17.Q,MDO/MDO/LINE18.Q,MDO/MDO/LINE19.Q,MDO/MDO/LINE20.Q,MDO/MDO/LINE21.Q,MDO/MDO/LINE22.Q,MDO/MDO/LINE23.Q,MDO/MDO/LINE24.Q,MDO/MDO/LINE25.Q,MDO/MDO/LINE26.Q,MDO/MDO/LINE27.Q,MDO/MDO/LINE28.Q,MDO/MDO/LINE29.Q,MDO/MDO/LINE30.Q,MDO/MDO/LINE31.Q,MDO/MDO/LINE32.Q,MDO/MDO/LINE33.Q,MDO/MDO/LINE34.Q,MDO/MDO/LINE35.Q,MDO/MDO/LINE36.Q,MDO/MDO/LINE37.Q,MDO/MDO/LINE38.Q,MDO/MDO/LINE39.Q,MDO/MDO/LINE40.Q,MDO/MDO/LINE41.Q,MDO/MDO/LINE42.Q,MDO/MDO/LINE43.Q,MDO/MDO/LINE44.Q,MDO/MDO/LINE45.Q,MDO/MDO/LINE46.Q,MDO/MDO/LINE47.Q,MDO/MDO/LINE48.Q,MDO/MDO/LINE49.Q,MDO/MDO/LINE50.Q,MDO/MDO/LINE51.Q,MDO/MDO/LINE52.Q,MDO/MDO/LINE53.Q,MDO/MDO/LINE54.Q,MDO/MDO/LINE55.Q,MDO/MDO/LINE56.Q,MDO/MDO/LINE57.Q,MDO/MDO/LINE58.Q,MDO/MDO/LINE59.Q,MDO/MDO/LINE60.Q,MDO/MDO/LINE61.Q,MDO/MDO/LINE62.Q,MDO/MDO/LINE63.Q,MDO/MDO/LINE64.Q,MDO/MDO/LINE65.Q,MDO/MDO/LINE66.Q,MDO/MDO/LINE67.Q,MDO/MDO/LINE68.Q,MDO/MDO/LINE69.Q,MDO/MDO/LINE70.Q,MDO/MDO/LINE71.Q,MDO/MDO/LINE72.Q,MDO/MDO/LINE73.Q,MDO/MDO/LINE74.Q,MDO/MDO/LINE75.Q,MDO/MDO/LINE76.Q,MDO/MDO/LINE77.Q,MDO/MDO/LINE78.Q,MDO/MDO/LINE79.Q
Time Period,LINE1.Q,LINE2.Q,LINE3.Q,LINE4.Q,LINE5.Q,LINE6.Q,LINE7.Q,LINE8.Q,LINE9.Q,LINE10.Q,LINE11.Q,LINE12.Q,LINE13.Q,LINE14.Q,LINE15.Q,LINE16.Q,LINE17.Q,LINE18.Q,LINE19.Q,LINE20.Q,LINE21.Q,LINE22.Q,LINE23.Q,LINE24.Q,LINE25.Q,LINE26.Q,LINE27.Q,LINE28.Q,LINE29.Q,LINE30.Q,LINE31.Q,LINE32.Q,LINE33.Q,LINE34.Q,LINE35.Q,LINE36.Q,LINE37.Q,LINE38.Q,LINE39.Q,LINE40.Q,LINE41.Q,LINE42.Q,LINE43.Q,LINE44.Q,LINE45.Q,LINE46.Q,LINE47.Q,LINE48.Q,LINE49.Q,LINE50.Q,LINE51.Q,LINE52.Q,LINE53.Q,LINE54.Q,LINE55.Q,LINE56.Q,LINE57.Q,LINE58.Q,LINE59.Q,LINE60.Q,LINE61.Q,LINE62.Q,LINE63.Q,LINE64.Q,LINE65.Q,LINE66.Q,LINE67.Q,LINE68.Q,LINE69.Q,LINE70.Q,LINE71.Q,LINE72.Q,LINE73.Q,LINE74.Q,LINE75.Q,LINE76.Q,LINE77.Q,LINE78.Q,LINE79.Q
1949Q1,,,,,,,,,,,,,,,,,1401,0,0,0,193,0,0,0,193,25,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,874,0,874,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,,,,,
1949Q2,,,,,,,,,,,,,,,,,1570,0,0,0,194,0,0,0,194,25,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,887,0,887,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,,,,,
1949Q3,,,,,,,,,,,,,,,,,1753,0,0,0,194,0,0,0,194,26,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,896,0,896,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,,,,,
1949Q4,54282,29152,7772,11848,5510,42597,29691,22199,3136,3447,909,12906,6093,2296,3379,1138,1956,0,0,0,195,0,0,0,195,27,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,906,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,9722,33,2312,5022,2355
1950Q1,,,,,,,,,,,,,,,,,,0,0,0,202,0,0,0,202,30,21,9,0,0,0,0,0,,,,,0,0,0,0,921,0,921,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,0,0,,,,,
